frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
193,Jun 17 2019 12:38:11.165895000 MST,0.011886000,160,70,1
194,Jun 17 2019 12:38:11.168906000 MST,0.003011000,72,70,1
195,Jun 17 2019 12:38:11.171036000 MST,0.002130000,484,70,1
196,Jun 17 2019 12:38:11.185136000 MST,0.014100000,548,70,0
197,Jun 17 2019 12:38:11.209895000 MST,0.024759000,284,70,1
198,Jun 17 2019 12:38:11.210960000 MST,0.001065000,1398,70,1
199,Jun 17 2019 12:38:11.212024000 MST,0.001064000,886,70,1
200,Jun 17 2019 12:38:11.225060000 MST,0.013036000,548,70,0
201,Jun 17 2019 12:38:11.264960000 MST,0.039900000,548,70,0
202,Jun 17 2019 12:38:11.265966000 MST,0.001006000,452,70,1
203,Jun 17 2019 12:38:11.274000000 MST,0.008034000,500,70,0
204,Jun 17 2019 12:38:11.290984000 MST,0.016984000,72,70,1
205,Jun 17 2019 12:38:11.305056000 MST,0.014072000,548,70,0
206,Jun 17 2019 12:38:11.311919000 MST,0.006863000,388,70,1
207,Jun 17 2019 12:38:11.320982000 MST,0.009063000,308,70,1
208,Jun 17 2019 12:38:11.344973000 MST,0.023991000,548,70,0
209,Jun 17 2019 12:38:11.365058000 MST,0.020085000,548,70,0
210,Jun 17 2019 12:38:11.396924000 MST,0.031866000,72,70,1
211,Jun 17 2019 12:38:11.408969000 MST,0.012045000,72,70,1
212,Jun 17 2019 12:38:11.424996000 MST,0.016027000,548,70,0
213,Jun 17 2019 12:38:11.429020000 MST,0.004024000,72,70,1
214,Jun 17 2019 12:38:11.435942000 MST,0.006922000,148,70,1
215,Jun 17 2019 12:38:11.437037000 MST,0.001095000,72,70,1
216,Jun 17 2019 12:38:11.476041000 MST,0.039004000,216,70,1
217,Jun 17 2019 12:38:11.505021000 MST,0.028980000,548,70,0
218,Jun 17 2019 12:38:11.518981000 MST,0.013960000,216,70,1
219,Jun 17 2019 12:38:11.525069000 MST,0.006088000,548,70,0
220,Jun 17 2019 12:38:11.545123000 MST,0.020054000,548,70,0
221,Jun 17 2019 12:38:11.548973000 MST,0.003850000,256,70,1
222,Jun 17 2019 12:38:11.585042000 MST,0.036069000,548,70,0
223,Jun 17 2019 12:38:11.588018000 MST,0.002976000,100,70,1
224,Jun 17 2019 12:38:11.600949000 MST,0.012931000,148,70,1
225,Jun 17 2019 12:38:11.605083000 MST,0.004134000,548,70,0
226,Jun 17 2019 12:38:11.624951000 MST,0.019868000,548,70,0
227,Jun 17 2019 12:38:11.627922000 MST,0.002971000,88,70,1
228,Jun 17 2019 12:38:11.646018000 MST,0.018096000,72,70,1
229,Jun 17 2019 12:38:11.665053000 MST,0.019035000,548,70,0
230,Jun 17 2019 12:38:11.688955000 MST,0.023902000,128,70,1
231,Jun 17 2019 12:38:11.694987000 MST,0.006032000,176,70,1
232,Jun 17 2019 12:38:11.704974000 MST,0.009987000,548,70,0
233,Jun 17 2019 12:38:11.705988000 MST,0.001014000,72,70,1
234,Jun 17 2019 12:38:11.707953000 MST,0.001965000,72,70,1
235,Jun 17 2019 12:38:11.709898000 MST,0.001945000,3978,70,1
236,Jun 17 2019 12:38:11.710957000 MST,0.001059000,3197,70,1
237,Jun 17 2019 12:38:11.745072000 MST,0.034115000,548,70,0
238,Jun 17 2019 12:38:11.746980000 MST,0.001908000,88,70,1
239,Jun 17 2019 12:38:11.784992000 MST,0.038012000,548,70,0
240,Jun 17 2019 12:38:11.786009000 MST,0.001017000,72,70,1
241,Jun 17 2019 12:38:11.795946000 MST,0.009937000,128,70,1
242,Jun 17 2019 12:38:11.825094000 MST,0.029148000,548,70,0
243,Jun 17 2019 12:38:11.828059000 MST,0.002965000,128,70,1
244,Jun 17 2019 12:38:11.828948000 MST,0.000889000,72,70,1
245,Jun 17 2019 12:38:11.830048000 MST,0.001100000,3978,70,1
