frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction,Application
283,Jul 26 2019 19:16:35.940725000 MST,0.001081,1707,70.0,0.0,amazon
284,Jul 26 2019 19:16:35.940746000 MST,2.1e-05,1302,70.0,1.0,amazon
285,Jul 26 2019 19:16:35.941670000 MST,0.000924,886,70.0,0.0,amazon
286,Jul 26 2019 19:16:35.941714000 MST,4.4e-05,3978,70.0,1.0,amazon
287,Jul 26 2019 19:16:35.942650000 MST,0.000936,3978,70.0,1.0,amazon
288,Jul 26 2019 19:16:35.943559000 MST,0.000909,3557,70.0,1.0,amazon
289,Jul 26 2019 19:16:35.944611000 MST,0.001052,3978,70.0,1.0,amazon
290,Jul 26 2019 19:16:35.945491000 MST,0.00088,3978,70.0,1.0,amazon
291,Jul 26 2019 19:16:35.946546000 MST,0.001055,3978,70.0,1.0,amazon
292,Jul 26 2019 19:16:35.947647000 MST,0.001101,3978,70.0,1.0,amazon
293,Jul 26 2019 19:16:35.948537000 MST,0.00089,3978,70.0,1.0,amazon
294,Jul 26 2019 19:16:35.949740000 MST,0.001203,1707,70.0,0.0,amazon
295,Jul 26 2019 19:16:35.949762000 MST,2.2e-05,3978,70.0,1.0,amazon
296,Jul 26 2019 19:16:35.950655000 MST,0.000893,3978,70.0,1.0,amazon
297,Jul 26 2019 19:16:35.951555000 MST,0.0009,3978,70.0,1.0,amazon
298,Jul 26 2019 19:16:35.952607000 MST,0.001052,3978,70.0,1.0,amazon
299,Jul 26 2019 19:16:35.953672000 MST,0.001065,3978,70.0,1.0,amazon
300,Jul 26 2019 19:16:35.954563000 MST,0.000891,3978,70.0,1.0,amazon
301,Jul 26 2019 19:16:35.955636000 MST,0.001073,2400,70.0,1.0,amazon
302,Jul 26 2019 19:16:35.971619000 MST,0.015983,548,70.0,0.0,amazon
303,Jul 26 2019 19:16:35.980676000 MST,0.009057,548,70.0,0.0,amazon
304,Jul 26 2019 19:16:35.989574000 MST,0.008898,790,70.0,0.0,amazon
305,Jul 26 2019 19:16:35.996621000 MST,0.007047,128,70.0,1.0,amazon
306,Jul 26 2019 19:16:35.998655000 MST,0.002034,1078,70.0,0.0,amazon
307,Jul 26 2019 19:16:36.006512000 MST,0.007857,64,70.0,1.0,amazon
308,Jul 26 2019 19:16:36.007638000 MST,0.001126,216,70.0,0.0,amazon
309,Jul 26 2019 19:16:36.007649000 MST,1.1e-05,732,70.0,1.0,amazon
310,Jul 26 2019 19:16:36.008647000 MST,0.000998,2592,70.0,1.0,amazon
311,Jul 26 2019 19:16:36.016712000 MST,0.008065,500,70.0,0.0,amazon
312,Jul 26 2019 19:16:36.025621000 MST,0.008909,886,70.0,0.0,amazon
313,Jul 26 2019 19:16:36.042568000 MST,0.016947,3197,70.0,1.0,amazon
314,Jul 26 2019 19:16:36.051667000 MST,0.009099,548,70.0,0.0,amazon
315,Jul 26 2019 19:16:36.066489000 MST,0.014822,1398,70.0,1.0,amazon
316,Jul 26 2019 19:16:36.067612000 MST,0.001123,3978,70.0,1.0,amazon
317,Jul 26 2019 19:16:36.068632000 MST,0.00102,3978,70.0,1.0,amazon
318,Jul 26 2019 19:16:36.069533000 MST,0.000901,3978,70.0,1.0,amazon
